,constituency_id,constituency_name,con_share,lib_share,lab_share,election,winner,borough_name,code,median_salary,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag,year,OBJECTID,PCON21NM,BNG_E,BNG_N,LONG,LAT,GlobalID,Shape__Are,Shape__Len,geometry
24,E14000549,Battersea,0.473,0.147,0.351,2010,con,Wandsworth,E09000032,27405.0,32887.0,23.0,287538.0,128000.0,3522.0,127243.0,1.0,2006,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
25,E14000549,Battersea,0.473,0.147,0.351,2010,con,Wandsworth,E09000032,30513.0,38209.0,25.0,291440.0,130000.0,3522.0,128946.0,1.0,2007,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
26,E14000549,Battersea,0.473,0.147,0.351,2010,con,Wandsworth,E09000032,30808.0,40916.0,27.0,294305.0,129000.0,3522.0,130226.0,1.0,2008,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
27,E14000549,Battersea,0.473,0.147,0.351,2010,con,Wandsworth,E09000032,32373.0,41202.0,25.0,299347.0,125000.0,3522.0,132060.0,1.0,2009,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
28,E14000549,Battersea,0.473,0.147,0.351,2010,con,Wandsworth,E09000032,31818.0,39318.0,27.0,302620.0,118000.0,3522.0,133885.0,1.0,2010,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
29,E14000549,Battersea,0.524,0.044,0.368,2015,con,Wandsworth,E09000032,32033.0,38695.0,28.0,307710.0,125000.0,3522.0,134619.0,1.0,2011,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
30,E14000549,Battersea,0.524,0.044,0.368,2015,con,Wandsworth,E09000032,31262.0,35295.0,24.0,308312.0,136000.0,3522.0,135601.0,1.0,2012,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
31,E14000549,Battersea,0.524,0.044,0.368,2015,con,Wandsworth,E09000032,31491.0,36917.0,20.0,310516.0,134000.0,3522.0,136558.0,1.0,2013,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
32,E14000549,Battersea,0.524,0.044,0.368,2015,con,Wandsworth,E09000032,31085.0,35182.0,21.0,312145.0,134000.0,3522.0,137757.0,1.0,2014,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
33,E14000549,Battersea,0.524,0.044,0.368,2015,con,Wandsworth,E09000032,31968.0,37251.0,21.0,314544.0,144000.0,3522.0,138841.0,1.0,2015,20,Battersea,527494,175640,-0.16598,51.46537,494b87ef-e365-4eb9-b60d-9d04f194c914,11207394.8182068,17808.6290711021,"POLYGON ((528637.1711 175213.9396, 529114.6143 173061.4737, 528232.5001 174031.0035, 527630.8003 173607.8046, 527042.8037 174958.098099999, 525760.4989 174242.502900001, 524802.802 174902.704, 525470.0958 175427.011, 526900.898 177328.2996, 528564.1539 177799.6646, 529972.1587 177985.095799999, 528637.1711 175213.9396))"
